Event,Date⇩,Event,Venue,Competitors,url,track_name,race_country
2005 UCI World Cup DH #5,3rd Jul 2005,2005 UCI World Cup DH #5,"Balneário Camboriú, Brazil",77,https://www.rootsandrain.com/event259/2005-jul-3-uci-world-cup-dh-5-balneario-camboriu/,Balneário Camboriú, Brazil
2005 UCI World Cup DH #4,26th Jun 2005,2005 UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",103,https://www.rootsandrain.com/event258/2005-jun-26-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2005 UCI World Cup DH #3,12th Jun 2005,2005 UCI World Cup DH #3,"Schladming, Austria",110,https://www.rootsandrain.com/event257/2005-jun-12-uci-world-cup-dh-3-schladming/,Schladming, Austria
2005 UCI World Cup DH #2,5th Jun 2005,2005 UCI World Cup DH #2,"Willingen, Germany",192,https://www.rootsandrain.com/event256/2005-jun-5-uci-world-cup-dh-2-willingen/,Willingen, Germany
2005 UCI World Cup DH #1,1st May 2005,2005 UCI World Cup DH #1,"Vigo, Spain",110,https://www.rootsandrain.com/event255/2005-may-1-uci-world-cup-dh-1-vigo/,Vigo, Spain
2006 UCI World Cup DH #6,10th Sep 2006,2006 UCI World Cup DH #6,"Schladming, Austria",275,https://www.rootsandrain.com/event254/2006-sep-10-uci-world-cup-dh-6-schladming/,Schladming, Austria
UCI - DHI World Championships '06,26th Aug 2006,UCI - DHI World Championships '06,"Rotorua, New Zealand",143,https://www.rootsandrain.com/event1457/2006-aug-26-uci-dhi-world-championships-06-rotorua/,Rotorua, New Zealand
2006 UCI World Cup DH #5,2nd Jul 2006,2006 UCI World Cup DH #5,"Balneário Camboriú, Brazil",136,https://www.rootsandrain.com/event253/2006-jul-2-uci-world-cup-dh-5-balneario-camboriu/,Balneário Camboriú, Brazil
2006 UCI World Cup DH #4,25th Jun 2006,2006 UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",185,https://www.rootsandrain.com/event252/2006-jun-25-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2006 UCI World Cup DH #3,4th Jun 2006,2006 UCI World Cup DH #3,"Willingen, Germany",240,https://www.rootsandrain.com/event251/2006-jun-4-uci-world-cup-dh-3-willingen/,Willingen, Germany
2006 UCI World Cup DH #2,28th May 2006,2006 UCI World Cup DH #2,"Fort William, UK",207,https://www.rootsandrain.com/event250/2006-may-28-uci-world-cup-dh-2-fort-william/,Fort William, UK
2006 UCI World Cup DH #1,7th May 2006,2006 UCI World Cup DH #1,"Vigo, Spain",242,https://www.rootsandrain.com/event249/2006-may-7-uci-world-cup-dh-1-vigo/,Vigo, Spain
2007 Nissan UCI World Cup DH #5,16th Sep 2007,2007 Nissan UCI World Cup DH #5,"Maribor, Slovenia",232,https://www.rootsandrain.com/event248/2007-sep-16-nissan-uci-world-cup-dh-5-maribor/,Maribor, Slovenia
UCI - DHI World Championships '07,9th Sep 2007,UCI - DHI World Championships '07,"Fort William, UK",210,https://www.rootsandrain.com/event275/2007-sep-9-uci-dhi-world-championships-07-fort-william/,Fort William, UK
2007 Nissan UCI World Cup DH #4,8th Jul 2007,2007 Nissan UCI World Cup DH #4,"Schladming, Austria",242,https://www.rootsandrain.com/event247/2007-jul-8-nissan-uci-world-cup-dh-4-schladming/,Schladming, Austria
2007 Nissan UCI World Cup DH #3,24th Jun 2007,2007 Nissan UCI World Cup DH #3,"Mont-Sainte-Anne, QC, Canada",132,https://www.rootsandrain.com/event246/2007-jun-24-nissan-uci-world-cup-dh-3-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2007 Nissan UCI World Cup DH #2,10th Jun 2007,2007 Nissan UCI World Cup DH #2,"Champéry, Switzerland",220,https://www.rootsandrain.com/event245/2007-jun-10-nissan-uci-world-cup-dh-2-champery/,Champéry, Switzerland
2007 Nissan UCI World Cup DH #1,13th May 2007,2007 Nissan UCI World Cup DH #1,"Vigo, Spain",211,https://www.rootsandrain.com/event244/2007-may-13-nissan-uci-world-cup-dh-1-vigo/,Vigo, Spain
2008 Nissan UCI World Cup DH #7,14th Sep 2008,2008 Nissan UCI World Cup DH #7,"Schladming, Austria",269,https://www.rootsandrain.com/event243/2008-sep-14-nissan-uci-world-cup-dh-7-schladming/,Schladming, Austria
2008 Nissan UCI World Cup DH #6,31st Aug 2008,2008 Nissan UCI World Cup DH #6,"Stromlo, Canberra, ACT, Australia",91,https://www.rootsandrain.com/event242/2008-aug-31-nissan-uci-world-cup-dh-6-stromlo-canberra-act/,Stromlo, Australia
2008 Nissan UCI World Cup DH #5,3rd Aug 2008,2008 Nissan UCI World Cup DH #5,"Bromont, QC, Canada",185,https://www.rootsandrain.com/event241/2008-aug-3-nissan-uci-world-cup-dh-5-bromont-qc/,Bromont, Canada
2008 Nissan UCI World Cup DH #4,27th Jul 2008,2008 Nissan UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",194,https://www.rootsandrain.com/event240/2008-jul-27-nissan-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
UCI - DHI World Championships '08,21st Jun 2008,UCI - DHI World Championships '08,"Val di Sole, Italy",210,https://www.rootsandrain.com/event263/2008-jun-21-uci-dhi-world-championships-08-val-di-sole/,Val di Sole, Italy
2008 Nissan UCI World Cup DH #3,8th Jun 2008,2008 Nissan UCI World Cup DH #3,"Fort William, UK",217,https://www.rootsandrain.com/event239/2008-jun-8-nissan-uci-world-cup-dh-3-fort-william/,Fort William, UK
2008 Nissan UCI World Cup DH #2,1st Jun 2008,2008 Nissan UCI World Cup DH #2,"Vallnord, Andorra",264,https://www.rootsandrain.com/event238/2008-jun-1-nissan-uci-world-cup-dh-2-vallnord/,Vallnord, Andorra
2008 Nissan UCI World Cup DH #1,11th May 2008,2008 Nissan UCI World Cup DH #1,"Maribor, Slovenia",324,https://www.rootsandrain.com/event237/2008-may-11-nissan-uci-world-cup-dh-1-maribor/,Maribor, Slovenia
2009 Nissan UCI World Cup DH #8,20th Sep 2009,2009 Nissan UCI World Cup DH #8,"Schladming, Austria",256,https://www.rootsandrain.com/event179/2009-sep-20-nissan-uci-world-cup-dh-8-schladming/,Schladming, Austria
UCI - DHI World Championships '09,6th Sep 2009,UCI - DHI World Championships '09,"Stromlo, Canberra, ACT, Australia",134,https://www.rootsandrain.com/event133/2009-sep-6-uci-dhi-world-championships-09-stromlo-canberra-act/,Stromlo, Australia
2009 Nissan UCI World Cup DH #7,2nd Aug 2009,2009 Nissan UCI World Cup DH #7,"Bromont, QC, Canada",190,https://www.rootsandrain.com/event178/2009-aug-2-nissan-uci-world-cup-dh-7-bromont-qc/,Bromont, Canada
2009 Nissan UCI World Cup DH #6,26th Jul 2009,2009 Nissan UCI World Cup DH #6,"Mont-Sainte-Anne, QC, Canada",190,https://www.rootsandrain.com/event177/2009-jul-26-nissan-uci-world-cup-dh-6-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
2009 Nissan UCI World Cup DH #5,21st Jun 2009,2009 Nissan UCI World Cup DH #5,"Maribor, Slovenia",256,https://www.rootsandrain.com/event176/2009-jun-21-nissan-uci-world-cup-dh-5-maribor/,Maribor, Slovenia
2009 Nissan UCI World Cup DH #4,7th Jun 2009,2009 Nissan UCI World Cup DH #4,"Fort William, UK",177,https://www.rootsandrain.com/event175/2009-jun-7-nissan-uci-world-cup-dh-4-fort-william/,Fort William, UK
2009 Nissan UCI World Cup DH #3,17th May 2009,2009 Nissan UCI World Cup DH #3,"Vallnord, Andorra",223,https://www.rootsandrain.com/event174/2009-may-17-nissan-uci-world-cup-dh-3-vallnord/,Vallnord, Andorra
2009 Nissan UCI World Cup DH #2,10th May 2009,2009 Nissan UCI World Cup DH #2,"La Bresse, France",246,https://www.rootsandrain.com/event173/2009-may-10-nissan-uci-world-cup-dh-2-la-bresse/,La Bresse, France
