Name,Name,Run 1,sex,rider_country,race_country,Date,track_name
Kerry BASON,Kerry BASON,7:45.0730,Women,British, Germany,23rd Sep 1995,Kirchzarten
Babette BERLIN,Babette BERLIN,7:48.4931,Women,French, Germany,23rd Sep 1995,Kirchzarten
Tanja NEHME,Tanja NEHME,7:48.9832,Women,German, Germany,23rd Sep 1995,Kirchzarten
Bettina LATZKE,Bettina LATZKE,7:54.3533,Women,German, Germany,23rd Sep 1995,Kirchzarten
Kathrin BLATTER,Kathrin BLATTER,7:57.8534,Women,Swiss, Germany,23rd Sep 1995,Kirchzarten
Bronwyn BATTERSBY,Bronwyn BATTERSBY,8:05.8335,Women,Australian, Germany,23rd Sep 1995,Kirchzarten
Michelle BONE,Michelle BONE,8:06.6636,Women,South African, Germany,23rd Sep 1995,Kirchzarten
Tina LUKAC,Tina LUKAC,8:10.0537,Women,Slovenian, Germany,23rd Sep 1995,Kirchzarten
Susan DIBIASE,Susan DIBIASE,8:11.7438,Women,American, Germany,23rd Sep 1995,Kirchzarten
Emma GUY,Emma GUY,8:16.0339,Women,British, Germany,23rd Sep 1995,Kirchzarten
Keely CINKOTA,Keely CINKOTA,8:18.5140,Women,American, Germany,23rd Sep 1995,Kirchzarten
Masako UCHIDA,Masako UCHIDA,8:30.0041,Women,Japanese, Germany,23rd Sep 1995,Kirchzarten
Aya TAZAKI,Aya TAZAKI,8:30.4742,Women,Japanese, Germany,23rd Sep 1995,Kirchzarten
Kazue TAKEICHI,Kazue TAKEICHI,8:31.0043,Women,Japanese, Germany,23rd Sep 1995,Kirchzarten
Verena VOGT,Verena VOGT,8:32.3944,Women,Austrian, Germany,23rd Sep 1995,Kirchzarten
Sachiko KAMAKURA,Sachiko KAMAKURA,8:35.3845,Women,Japanese, Germany,23rd Sep 1995,Kirchzarten
Laura BELLIDA,Laura BELLIDA,8:37.9146,Women,Italian, Germany,23rd Sep 1995,Kirchzarten
Daniela DONADIO,Daniela DONADIO,8:40.4747,Women,Argentinian, Germany,23rd Sep 1995,Kirchzarten
Annamaria CAVADINI,Annamaria CAVADINI,8:42.4848,Women,Swiss, Germany,23rd Sep 1995,Kirchzarten
Melanie EBERLE,Melanie EBERLE,8:45.2549,Women,German, Germany,23rd Sep 1995,Kirchzarten
Irene VALLAZZA,Irene VALLAZZA,8:46.0950,Women,German, Germany,23rd Sep 1995,Kirchzarten
Joy Lynn WIESER,Joy Lynn WIESER,8:48.7051,Women,American, Germany,23rd Sep 1995,Kirchzarten
Martina DONNER,Martina DONNER,8:55.4252,Women,Austrian, Germany,23rd Sep 1995,Kirchzarten
Francesca FLORIANI,Francesca FLORIANI,8:57.5153,Women,Italian, Germany,23rd Sep 1995,Kirchzarten
Keeley LOCKEY,Keeley LOCKEY,8:58.1554,Women,British, Germany,23rd Sep 1995,Kirchzarten
Christine RUTLEY,Christine RUTLEY,8:59.0155,Women,Canadian, Germany,23rd Sep 1995,Kirchzarten
Gabriella JOHANSSON-ANDELIUS,Gabriella JOHANSSON-ANDELIUS,9:08.0956,Women,Swedish, Germany,23rd Sep 1995,Kirchzarten
Kathi KRAUSE,Kathi KRAUSE,9:17.7357,Women,American, Germany,23rd Sep 1995,Kirchzarten
Elisa Maria GARCIA,Elisa Maria GARCIA,9:19.7658,Women,Belgian, Germany,23rd Sep 1995,Kirchzarten
Petra LINGELBACH,Petra LINGELBACH,9:27.4859,Women,German, Germany,23rd Sep 1995,Kirchzarten
Sally HUNTER,Sally HUNTER,9:55.0760,Women,British, Germany,23rd Sep 1995,Kirchzarten
Marcia CURY,Marcia CURY,10:09.5361,Women,Brazilian, Germany,23rd Sep 1995,Kirchzarten
Leslie WOODS,Leslie WOODS,10:15.6662,Women,American, Germany,23rd Sep 1995,Kirchzarten
Lorena FORTUNATO,Lorena FORTUNATO,10:30.0963,Women,Argentinian, Germany,23rd Sep 1995,Kirchzarten
Sabine DOBLEB,Sabine DOBLEB,10:40.1864,Women,German, Germany,23rd Sep 1995,Kirchzarten
Reinhild MÖLLER,Reinhild MÖLLER,10:49.4265,Women,German, Germany,23rd Sep 1995,Kirchzarten
Annabell WALLACE,Annabell WALLACE,11:31.7466,Women,British, Germany,23rd Sep 1995,Kirchzarten
Julie QUICKFALL,Julie QUICKFALL,12:09.0267,Women,British, Germany,23rd Sep 1995,Kirchzarten
Mary HODGE,Mary HODGE,12:19.3768,Women,American, Germany,23rd Sep 1995,Kirchzarten
Heather WILSON,Heather WILSON,14:50.5769,Women,Irish, Germany,23rd Sep 1995,Kirchzarten
Annika JOHANSSON,Annika JOHANSSON,16:31.6870,Women,Swedish, Germany,23rd Sep 1995,Kirchzarten
Michelina CERISE,Michelina CERISE,16:42.4871,Women,Italian, Germany,23rd Sep 1995,Kirchzarten
Malin LINDGREN,Malin LINDGREN,DNF,Women,Swedish, Germany,23rd Sep 1995,Kirchzarten
Nicolas VOUILLOZ,Nicolas VOUILLOZ,5:31.941,Men,French, Australia,22nd Sep 1996,Cairns
Shaun PALMER,Shaun PALMER,5:32.092,Men,American, Australia,22nd Sep 1996,Cairns
Bas DE BEVER,Bas DE BEVER,5:32.273,Men,Dutch, Australia,22nd Sep 1996,Cairns
Eric CARTER,Eric CARTER,5:33.654,Men,American, Australia,22nd Sep 1996,Cairns
Mike KING (pro),Mike KING (pro),5:34.375,Men,American, Australia,22nd Sep 1996,Cairns
Scott SHARPLES,Scott SHARPLES,5:34.386,Men,Australian, Australia,22nd Sep 1996,Cairns
Marcus KLAUSMANN,Marcus KLAUSMANN,5:35.837,Men,German, Australia,22nd Sep 1996,Cairns
Jürgen BENEKE,Jürgen BENEKE,5:35.918,Men,German, Australia,22nd Sep 1996,Cairns
Sean MCCARROLL,Sean MCCARROLL,5:36.089,Men,Australian, Australia,22nd Sep 1996,Cairns
Tomas MISSER,Tomas MISSER,5:36.1210,Men,Spanish, Australia,22nd Sep 1996,Cairns
Michel JOSEPH,Michel JOSEPH,5:36.5111,Men,Swiss, Australia,22nd Sep 1996,Cairns
Michael RONNING,Michael RONNING,5:36.6612,Men,Australian, Australia,22nd Sep 1996,Cairns
Brian LOPES,Brian LOPES,5:36.7413,Men,American, Australia,22nd Sep 1996,Cairns
Dave CULLINAN,Dave CULLINAN,5:36.8014,Men,American, Australia,22nd Sep 1996,Cairns
