,Name,Name.1,Run 1,sex,rider_country,race_country,Date,track_name,rider_country_new,home_race,run_time,race_id,percent_time_back,best_results,worst_results
343,Tara LLANES,Tara LLANES,6:05.7115,Women,American,Australia,22nd Sep 1996,Cairns,USA,0,6.095191666666667,Cairns22nd Sep 1996,11.64002185718951,0,0
345,Lisa SHER,Lisa SHER,6:09.0417,Women,American,Australia,22nd Sep 1996,Cairns,USA,0,6.150695,Cairns22nd Sep 1996,12.656625384256092,0,0
352,Mami MASUDA,Mami MASUDA,6:37.2624,Women,Japanese,Australia,22nd Sep 1996,Cairns,Japan,0,6.62104,Cairns22nd Sep 1996,21.271502315457845,0,0
353,Vanessa QUIN,Vanessa QUIN,6:43.5925,Women,New Zealand,Australia,22nd Sep 1996,Cairns,New Zealand,0,6.726541666666667,Cairns22nd Sep 1996,23.203879345871712,0,1
369,John TOMAC,John TOMAC,3:52.001,Men,American,USA,7th Sep 1996,Hawaii,USA,1,3.8666833333333335,Hawaii7th Sep 1996,0.0,1,0
371,Myles ROCKWELL,Myles ROCKWELL,3:55.353,Men,American,USA,7th Sep 1996,Hawaii,USA,1,3.92255,Hawaii7th Sep 1996,1.4448213585286362,1,0
373,David WATSON,David WATSON,3:59.915,Men,American,USA,7th Sep 1996,Hawaii,USA,1,3.9985833333333334,Hawaii7th Sep 1996,3.4111921931371025,1,0
375,Nicolas VOUILLOZ,Nicolas VOUILLOZ,4:00.797,Men,French,USA,7th Sep 1996,Hawaii,France,0,4.013283333333334,Hawaii7th Sep 1996,3.791362968263079,0,1
376,Sean MCCARROLL,Sean MCCARROLL,4:01.638,Men,Australian,USA,7th Sep 1996,Hawaii,Australia,0,4.0273,Hawaii7th Sep 1996,4.15386140576981,1,0
377,Stephane JANY,Stephane JANY,4:01.839,Men,French,USA,7th Sep 1996,Hawaii,France,0,4.03065,Hawaii7th Sep 1996,4.240498963366535,1,0
378,Jan LUNDMAN,Jan LUNDMAN,4:02.2010,Men,Swedish,USA,7th Sep 1996,Hawaii,Sweden,0,4.036683333333333,Hawaii7th Sep 1996,4.39653277356562,1,0
379,Missy GIOVE,Missy GIOVE,4:09.391,Women,American,USA,7th Sep 1996,Hawaii,USA,1,4.156516666666667,Hawaii7th Sep 1996,0.0,1,0
380,Leigh DONOVAN,Leigh DONOVAN,4:09.772,Women,American,USA,7th Sep 1996,Hawaii,USA,1,4.162866666666667,Hawaii7th Sep 1996,0.15277215296463087,1,0
381,Elke BRUTSAERT,Elke BRUTSAERT,4:10.793,Women,American,USA,7th Sep 1996,Hawaii,USA,1,4.179883333333334,Hawaii7th Sep 1996,0.5621694447674574,1,0
382,Anne-Caroline CHAUSSON,Anne-Caroline CHAUSSON,4:12.354,Women,French,USA,7th Sep 1996,Hawaii,France,0,4.2059,Hawaii7th Sep 1996,1.1880941974650172,0,1
383,Mercedes GONZALEZ,Mercedes GONZALEZ,4:13.425,Women,Spanish,USA,7th Sep 1996,Hawaii,Spain,0,4.22375,Hawaii7th Sep 1996,1.6175403282395973,1,0
384,Kim SONIER,Kim SONIER,4:17.396,Women,American,USA,7th Sep 1996,Hawaii,USA,1,4.289933333333333,Hawaii7th Sep 1996,3.2098191193747905,1,0
385,Nolvenn LE CAER,Nolvenn LE CAER,4:24.127,Women,French,USA,7th Sep 1996,Hawaii,France,0,4.402116666666666,Hawaii7th Sep 1996,5.90879382174978,0,0
386,Giovanna BONAZZI,Giovanna BONAZZI,4:24.208,Women,Italian,USA,7th Sep 1996,Hawaii,Italy,0,4.403466666666667,Hawaii7th Sep 1996,5.9412729408840015,0,0
387,Katja REPO,Katja REPO,4:27.699,Women,Finnish,USA,7th Sep 1996,Hawaii,Finland,0,4.46165,Hawaii7th Sep 1996,7.341082877890526,0,1
388,Lisa SHER,Lisa SHER,4:29.4410,Women,American,USA,7th Sep 1996,Hawaii,USA,1,4.490683333333333,Hawaii7th Sep 1996,8.03958442766579,0,0
389,Rob WARNER,Rob WARNER,7:15.321,Men,British,Austria,15th Aug 1996,Kaprun,UK,0,7.25535,Kaprun15th Aug 1996,0.0,1,0
390,Nicolas VOUILLOZ,Nicolas VOUILLOZ,7:18.852,Men,French,Austria,15th Aug 1996,Kaprun,France,0,7.3142,Kaprun15th Aug 1996,0.8111255831903197,0,0
391,Alex BALAUD,Alex BALAUD,7:19.953,Men,French,Austria,15th Aug 1996,Kaprun,France,0,7.33255,Kaprun15th Aug 1996,1.0640423963006684,1,0
393,Marcus KLAUSMANN,Marcus KLAUSMANN,7:21.805,Men,German,Austria,15th Aug 1996,Kaprun,Germany,0,7.363416666666667,Kaprun15th Aug 1996,1.4894755823863237,1,0
394,Missy GIOVE,Missy GIOVE,7:52.141,Women,American,Austria,15th Aug 1996,Kaprun,USA,0,7.869016666666667,Kaprun15th Aug 1996,0.0,1,0
395,Kim SONIER,Kim SONIER,7:54.112,Women,American,Austria,15th Aug 1996,Kaprun,USA,0,7.901866666666667,Kaprun15th Aug 1996,0.4174600384207139,1,0
396,Elke BRUTSAERT,Elke BRUTSAERT,7:54.493,Women,American,Austria,15th Aug 1996,Kaprun,USA,0,7.908216666666666,Kaprun15th Aug 1996,0.49815627111391425,1,0
397,Leigh DONOVAN,Leigh DONOVAN,7:56.024,Women,American,Austria,15th Aug 1996,Kaprun,USA,0,7.9337333333333335,Kaprun15th Aug 1996,0.8224238098364589,1,0
398,Giovanna BONAZZI,Giovanna BONAZZI,8:08.235,Women,Italian,Austria,15th Aug 1996,Kaprun,Italy,0,8.13725,Kaprun15th Aug 1996,3.408727477596729,1,0
399,Nicolas VOUILLOZ,Nicolas VOUILLOZ,5:16.301,Men,French,France,10th Aug 1996,Les Gets,France,1,5.271683333333334,Les Gets10th Aug 1996,0.0,1,0
400,Shaun PALMER,Shaun PALMER,5:16.992,Men,American,France,10th Aug 1996,Les Gets,USA,0,5.2832,Les Gets10th Aug 1996,0.21846279335189234,1,0
401,Marcus KLAUSMANN,Marcus KLAUSMANN,5:20.153,Men,German,France,10th Aug 1996,Les Gets,Germany,0,5.335883333333333,Les Gets10th Aug 1996,1.2178273227084313,1,0
402,Tomas MISSER,Tomas MISSER,5:21.104,Men,Spanish,France,10th Aug 1996,Les Gets,Spain,0,5.351733333333334,Les Gets10th Aug 1996,1.51849029879767,1,0
404,Corrado HERIN,Corrado HERIN,5:21.476,Men,Italian,France,10th Aug 1996,Les Gets,Italy,0,5.357933333333333,Les Gets10th Aug 1996,1.636099791021839,1,0
405,Cédric GRACIA,Cédric GRACIA,5:21.967,Men,French,France,10th Aug 1996,Les Gets,France,1,5.366116666666667,Les Gets10th Aug 1996,1.7913316745757912,1,0
406,Gianluca BONANOMI,Gianluca BONANOMI,5:22.838,Men,Italian,France,10th Aug 1996,Les Gets,Italy,0,5.380633333333333,Les Gets10th Aug 1996,2.0667022867458362,1,0
407,Jürgen BENEKE,Jürgen BENEKE,5:23.319,Men,German,France,10th Aug 1996,Les Gets,Germany,0,5.38865,Les Gets10th Aug 1996,2.218772624809917,1,0
408,Pau MISSER,Pau MISSER,5:23.5210,Men,Spanish,France,10th Aug 1996,Les Gets,Spain,0,5.392016666666667,Les Gets10th Aug 1996,2.282635843705827,1,0
409,Anne-Caroline CHAUSSON,Anne-Caroline CHAUSSON,5:46.131,Women,French,France,10th Aug 1996,Les Gets,France,1,5.7688500000000005,Les Gets10th Aug 1996,0.0,1,1
410,Mercedes GONZALEZ,Mercedes GONZALEZ,5:55.712,Women,Spanish,France,10th Aug 1996,Les Gets,Spain,0,5.928533333333333,Les Gets10th Aug 1996,2.768027134235296,1,0
411,Kim SONIER,Kim SONIER,5:57.953,Women,American,France,10th Aug 1996,Les Gets,USA,0,5.965883333333333,Les Gets10th Aug 1996,3.415469865455556,1,0
413,Nolvenn LE CAER,Nolvenn LE CAER,6:03.705,Women,French,France,10th Aug 1996,Les Gets,France,1,6.06175,Les Gets10th Aug 1996,5.077268433049897,1,0
414,Leigh DONOVAN,Leigh DONOVAN,6:03.796,Women,American,France,10th Aug 1996,Les Gets,USA,0,6.063266666666666,Les Gets10th Aug 1996,5.1035590571199885,0,0
